name,manufacturer,product,category,weight,unit,price,consumable,product_url,notes
Poncho,3F UL Gear,Ultralight Tarp Poncho,Clothing,197.5,g,45.5,,https://3fulgear.com/product/accessories/ultralight-tarp-poncho/,
Keyboard,,,Electronics,,g,0,,,
Mouse,,,Electronics,,g,0,,,
Phone / Tablet stand,,,Miscellaneous,,g,0,,,
iPad ,Apple,iPad Pro,Electronics,,g,0,,,
MacBook ,Apple,MacBook Pro,Electronics,,g,0,,,
Nails clippers ,,,Toiletries,15,g,0,,,
Staff sack,Sea to Summit,6.5L Dry Bag,Pack,40,g,9,,https://seatosummitusa.com/collections/stuff-compression-sacks/products/nylon-stuff-sack?variant=7896142217244,
Thermal underpats,Icebreaker,Merino 200 Oasis Thermal Leggings,Clothing,206,g,100,,https://www.icebreaker.com/en-de/mens-baselayers/merino-200-oasis-thermal-leggings/104369.html?dwvar_104369_color=401,
Power bank 20k + bag,Anker,Anker Prime 20000 mAh Power Bank,Electronics,555,g,0,,,
Soap bag,Matador,Bar Soap case,Toiletries,11,g,0,,,
Tweezers,,,Toiletries,4,g,0,,,
Truetape,Truetape,,First Aid,52,g,0,true,,
Mid layer hoodie ,Uniqlo,ULTRA STRETCH DRY-EX SWEAT JACKET WITH HOOD,Clothing,250,g,30,,https://www.uniqlo.com/de/de/product/ultra-stretch-dry-ex-sweatjacke-mit-kapuze-465203.html?dwvar_465203_size=SMA002&cgid=IDm-sweatshirts-and-hoodie,
Hiking Sandals,Xero,Xero Z-Trail EV,Footware,319,g,90,,https://www.xeroshoes.eu/shop/sandals/ztrail-men/,
Sunglasses - folding,Foldies,Remix,Miscellaneous,27,g,75,,https://www.foldies.com/collections/polarized-folding-remix/products/foldies-polarized-folding-remix?variant=40063038095555,
Body scrubber,Tooletries,,Toiletries,17,g,0,,https://tooletries.com.au/products/the-body-scrubber,
